k,category_precision,category_recall,subcategory_precision,subcategory_recall,average_query_time_ms
5,0.9067999999999999,0.00031776623990909555,0.7496,0.0009880208129803704,5.43322841792542
10,0.8894,0.0006018396787111681,0.7153999999999999,0.0017584629736013596,5.43322841792542
20,0.8747,0.0011445322391951903,0.6926,0.003194697112230637,5.43322841792542
