model,query,image_id,transform,level,label,cosine
resnet18,1,archive/ut-zap50k-images-square/ut-zap50k-images-square/Sandals/Flat/Havaianas/7933395.129842.jpg,rotation,45.0,rotation_45deg,0.77915
resnet18,1,archive/ut-zap50k-images-square/ut-zap50k-images-square/Sandals/Flat/Havaianas/7933395.129842.jpg,rotation,90.0,rotation_90deg,0.814098
resnet18,1,archive/ut-zap50k-images-square/ut-zap50k-images-square/Sandals/Flat/Havaianas/7933395.129842.jpg,rotation,180.0,rotation_180deg,0.855391
resnet18,1,archive/ut-zap50k-images-square/ut-zap50k-images-square/Sandals/Flat/Havaianas/7933395.129842.jpg,crop,0.9,crop_0.9x,0.974863
resnet18,1,archive/ut-zap50k-images-square/ut-zap50k-images-square/Sandals/Flat/Havaianas/7933395.129842.jpg,crop,0.8,crop_0.8x,0.949143
resnet18,1,archive/ut-zap50k-images-square/ut-zap50k-images-square/Sandals/Flat/Havaianas/7933395.129842.jpg,crop,0.7,crop_0.7x,0.924964
resnet18,1,archive/ut-zap50k-images-square/ut-zap50k-images-square/Sandals/Flat/Havaianas/7933395.129842.jpg,crop,0.5,crop_0.5x,0.794387
resnet18,1,archive/ut-zap50k-images-square/ut-zap50k-images-square/Sandals/Flat/Havaianas/7933395.129842.jpg,crop,0.3,crop_0.3x,0.756684
resnet18,1,archive/ut-zap50k-images-square/ut-zap50k-images-square/Sandals/Flat/Havaianas/7933395.129842.jpg,brightness,0.2,brightness_0.2x,0.835493
resnet18,1,archive/ut-zap50k-images-square/ut-zap50k-images-square/Sandals/Flat/Havaianas/7933395.129842.jpg,brightness,0.4,brightness_0.4x,0.918099
resnet18,1,archive/ut-zap50k-images-square/ut-zap50k-images-square/Sandals/Flat/Havaianas/7933395.129842.jpg,brightness,0.6,brightness_0.6x,0.949212
resnet18,1,archive/ut-zap50k-images-square/ut-zap50k-images-square/Sandals/Flat/Havaianas/7933395.129842.jpg,brightness,0.8,brightness_0.8x,0.976085
resnet18,1,archive/ut-zap50k-images-square/ut-zap50k-images-square/Sandals/Flat/Havaianas/7933395.129842.jpg,brightness,1.2,brightness_1.2x,0.968071
resnet18,1,archive/ut-zap50k-images-square/ut-zap50k-images-square/Sandals/Flat/Havaianas/7933395.129842.jpg,brightness,1.5,brightness_1.5x,0.88546
resnet18,1,archive/ut-zap50k-images-square/ut-zap50k-images-square/Sandals/Flat/Havaianas/7933395.129842.jpg,brightness,2.0,brightness_2x,0.822097
resnet18,1,archive/ut-zap50k-images-square/ut-zap50k-images-square/Sandals/Flat/Havaianas/7933395.129842.jpg,brightness,3.0,brightness_3x,0.738765
resnet18,1,archive/ut-zap50k-images-square/ut-zap50k-images-square/Sandals/Flat/Havaianas/7933395.129842.jpg,blur,0.5,blur_0.5px,0.994607
resnet18,1,archive/ut-zap50k-images-square/ut-zap50k-images-square/Sandals/Flat/Havaianas/7933395.129842.jpg,blur,1.0,blur_1px,0.923982
